external_identify,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
140904974,Cần ra gấp lô đất BC 90m2 999tr kiếm tiền ăn tết!!,999000000,1671764633000,1040,Đất,,,,,,,"10.81067,106.58276",106.58276,10.81067,False,,9512,Xã Vĩnh Lộc B,115,Huyện Bình Chánh,,
137762806,Đất mặt tiền HL62 gần KCN Sông Cầu-Khánh Vĩnh,2500000,1671764614000,1040,Đất,,,,,,,"12.28279,108.9433",108.9433,12.28279,False,,7712,Xã Sông Cầu,44,Huyện Khánh Vĩnh,,
140273658,Chính Chủ Thua Độ Đá Banh Bán Lỗ Lô Đất P2 Đà Lạt,300000000,1671764607002,1040,Đất,,,,,,,"11.94784,108.43989",108.43989,11.94784,False,,8524,Phường 2,57,Thành phố Đà Lạt,,
139616962,"BÁN ĐẤT XUÂN ĐỈNH_NGOẠI GIAO ĐOÀN_OTO.100M,7.5 TỶ",7500000000,1671764598980,1040,Đất,,,,,,,"21.07146,105.79635",105.79635,21.07146,False,,233,Phường Xuân Đỉnh,129,Quận Bắc Từ Liêm,,
139638835,Đất ngộp cần bán gấp,450000,1671764591912,1040,Đất,,,,,,,"11.44641,106.86471",106.86471,11.44641,False,,8776,Xã Phú Trung,12,Huyện Phú Riềng,,
140904659,chỉ 3ti4 sở hữu ngay lô đát 17x54 tại TT.TPBảo Lộc,3400000000,1671764567000,1040,Đất,,,,,,,"11.60147,107.77354",107.77354,11.60147,False,,8542,Xã Đạm Bri,57,Thành phố Bảo Lộc,,
140904311,9000m2-150m mt giá chỉ 1ti5 tại Đak Lak,1500000000,1671764544000,1040,Đất,,,,,,,"12.65815,108.02613",108.02613,12.65815,False,,8354,Xã Ea Tam,53,Huyện Krông Năng,,
140495605,Đất chính chủ ngộp ngân hàng hạ giá bán gấp,950000000,1671764539472,1040,Đất,,,,,,,"10.98355,106.7243",106.7243,10.98355,False,,8946,Phường Bình Chuẩn,11,Thành phố Thuận An,,
140904180,CC bán Lô Góc 196m2 + Nhà Xây Sẵn 6 tầng,22000000000,1671764517000,1040,Đất,,,,,,,"13.12198,109.29346",109.29346,13.12198,False,,7509,Xã Bình Kiến,46,Thành phố Tuy Hòa,,
140904167,chỉ 950tr sở hữu ngay lô đất MT gần 5000m2  QH:ONT,950000000,1671764513000,1040,Đất,,,,,,,"12.91419,108.40755",108.40755,12.91419,False,,8360,Xã Phú Xuân,53,Huyện Krông Năng,,
135557684,Tôi cần bán lô đất 120m2 tại phường TP.Long Khánh,510000000,1671764491000,1040,Đất,,,,,,,"10.39266,105.41974",105.41974,10.39266,False,,9003,Phường Bảo Vinh,13,Thành phố Long Khánh,,
140904799,Cần bán lô đất xây nhà 300m2 tại Bến Cát,580000000,1671764468000,1040,Đất,,,,,,,"11.16866,106.66142",106.66142,11.16866,False,,8907,Phường Chánh Phú Hòa,11,Thị xã Bến Cát,,
139233016,"Đất Cồn Khương giá rẻ 9tr/m² Lộ ôtô, sau view Sông",4200000000,1671764437668,1040,Đất,,,,,,,"10.05446,105.77628",105.77628,10.05446,False,,10728,Phường Cái Khế,27,Quận Ninh Kiều,,
140904759,ĐẤT BÀU BÀNG,980000000,1671764397000,1040,Đất,,,,,,,"11.356915,106.61145",106.61145,11.356915,False,,8887,Xã Trừ Văn Thố,11,Huyện Bàu Bàng,,
139867590,NGỘP GIÁ BÁN ĐẤT HXH VĨNH LỘC A BCHANH GIA 1Ty050,1050000000,1671764395458,1040,Đất,,,,,,,"10.82026,106.55795",106.55795,10.82026,False,,9511,Xã Vĩnh Lộc A,115,Huyện Bình Chánh,,
140018782,đất 45m2 cách cổng đô thị đô nghĩa chỉ khoảng 50m,2266666666,1671764385250,1040,Đất,,,,,,,"20.94415,105.7227",105.7227,20.94415,False,,268,Phường Yên Nghĩa,86,Quận Hà Đông,,
140904751,QUỸ NGOẠI GIAO PHƯƠNG ĐÔNG GREEN VALLEY,2100000000,1671764384000,1040,Đất,,,,,,,"11.00259,106.80221",106.80221,11.00259,False,,2077,Xã Tân Vinh,5,Huyện Lương Sơn,,
140904728,NH siết nợ bán rẻ lô đất cầu Long Kim 100m2 /750tr,750000000,1671764383000,1040,Đất,,,,,,,"10.62662,106.494",106.494,10.62662,False,,9645,Thị trấn Bến Lức,32,Huyện Bến Lức,,
140904733,GĐ cần bán gấp lô góc 4100m2 ở TT tp.Mới Bình Dươg,9000000000,1671764372000,1040,Đất,,,,,,,"10.98372,106.64315",106.64315,10.98372,False,,8881,Phường Phú Mỹ,11,Thành phố Thủ Dầu Một,,
139954879,"MT Nguyễn Văn Cừ chợ Mỹ Khánh,Cần Thơ 150m2/920tr",920000000,1671764311540,1040,Đất,,,,,,,"9.99056,105.70908",105.70908,9.99056,False,,10798,Xã Mỹ Khánh,27,Huyện Phong Điền,,
140904670,ĐẦU TƯ ĐẤT VEN KCN 5X30 50TC GÁI 650TR HẾT ĐẤT,650000000,1671764306000,1040,Đất,,,,,,,"11.43077,106.11387",106.11387,11.43077,False,,8847,Xã Hiệp Thạnh,14,Huyện Gò Dầu,,
138343702,"Bán nền nhà TP.Long Khánh - 5x20, 250tr/nền.",250000000,1671764301000,1040,Đất,,,,,,,"10.91916,107.29756",107.29756,10.91916,False,,9006,Xã Bàu Trâm,13,Thành phố Long Khánh,,
139845766,Khu TopGarden Hill 3 xịn xò nhiều khu tiện ích,1700000000,1671764252143,1040,Đất,,,,,,,"11.72748,107.6489",107.6489,11.72748,False,,8630,Xã Lộc Đức,57,Huyện Bảo Lâm,,
140766919,"Bán đất mặt tiền TL907,trung An,Vũng Liêm,VĩnhLong",970000000,1671764231026,1040,Đất,,,,,,,"10.15405,106.16396",106.16396,10.15405,False,,10229,Xã Trung An,36,Huyện Vũng Liêm,,
